progress_id,enrollment_id,completed_percent,last_access_date
1,4217,26,2022-11-16
2,3152,25,2024-05-31
3,7607,84,2019-11-26
4,6728,38,2023-03-27
5,8524,53,2020-05-09
6,8238,37,2021-06-20
7,3884,82,2025-04-02
8,8151,0,2024-10-19
9,3982,58,2025-01-28
10,7875,100,2026-02-28
11,3453,69,2021-12-11
12,8678,97,2022-01-26
13,5755,41,2021-01-20
14,6004,34,2020-04-13
15,6054,20,2021-12-23
16,8167,75,2025-02-12
17,1387,85,2024-04-09
18,3228,58,2024-12-23
19,1640,54,2022-09-20
20,534,15,2024-07-24
21,3233,58,2023-10-13
22,7150,0,2021-04-16
23,9351,44,2024-02-21
24,241,100,2024-08-02
25,9719,35,2024-12-09
26,7600,32,2025-04-11
27,76,63,2021-09-20
28,1844,51,2019-10-07
29,9776,100,2020-06-21
30,9460,94,2020-09-13
31,2940,11,2024-08-23
32,8793,73,2019-08-31
33,2789,43,2024-01-05
34,6954,84,2020-04-05
35,6722,47,2021-08-12
36,4471,33,2021-07-29
37,3777,4,2019-07-29
38,1652,61,2021-11-20
39,1653,60,2020-05-09
40,3329,38,2023-01-29
41,1235,55,2022-12-10
42,5401,60,2020-12-08
43,4597,44,2020-08-15
44,187,52,2022-07-06
45,5587,49,2025-10-08
46,8466,64,2024-03-05
47,6460,44,2025-05-07
48,1773,39,2019-08-22
49,3762,45,2021-01-01
50,9810,44,2021-10-06
51,5954,5,2023-03-24
52,5922,15,2021-07-03
53,7752,31,2024-10-25
54,7436,54,2020-10-17
55,7273,47,2019-09-13
56,4797,68,2024-01-25
57,4626,83,2021-03-03
58,2350,51,2020-10-16
59,6101,26,2022-07-31
60,9551,57,2019-03-10
61,7888,71,2019-04-25
62,2934,38,2024-09-23
63,6032,32,2020-01-19
64,9595,44,2024-05-03
65,5323,2,2024-04-10
66,1931,96,2019-11-24
67,8999,35,2024-12-31
68,9791,72,2019-07-08
69,6483,49,2023-11-24
70,2857,87,2020-08-22
71,2181,59,2022-08-23
72,4159,60,2022-10-24
73,307,38,2020-03-07
74,7925,77,2023-12-29
75,4341,89,2022-07-03
76,9646,69,2023-02-03
77,803,37,2022-11-26
78,3445,52,2023-02-03
79,3762,40,2021-04-18
80,7484,25,2021-02-25
81,6051,0,2019-07-20
82,6692,63,2020-09-11
83,6361,8,2019-06-15
84,1100,56,2023-04-21
85,7968,24,2022-02-24
86,178,33,2022-03-28
87,9417,61,2023-06-12
88,6909,48,2019-12-01
89,5261,33,2023-07-01
90,76,40,2021-08-13
91,4734,60,2025-08-06
92,532,15,2024-06-23
93,3771,87,2024-09-15
94,4962,46,2019-08-24
95,8741,68,2024-01-30
96,7680,66,2020-03-25
97,6617,16,2019-07-20
98,2681,74,2019-06-25
99,3048,33,2024-03-25
100,5321,20,2022-01-02
101,3544,58,2025-11-29
102,7149,67,2025-04-23
103,2755,8,2020-03-03
104,8744,69,2024-08-03
105,1067,42,2026-06-17
106,1446,40,2023-05-10
107,8843,72,2025-03-26
108,6546,64,2021-03-05
109,7419,26,2020-02-12
110,7190,99,2024-10-29
111,5690,59,2021-08-11
112,1422,31,2023-04-01
113,1920,64,2024-04-30
114,9751,74,2020-08-16
115,5419,53,2021-08-01
116,7609,95,2021-09-23
117,7867,67,2023-12-01
118,4602,63,2023-04-14
119,7092,56,2023-08-15
120,4831,21,2022-05-29
121,8047,20,2019-06-10
122,5094,45,2024-10-06
123,6246,66,2025-11-02
124,2161,0,2023-01-24
125,1475,15,2025-09-20
126,7228,55,2020-11-18
127,1332,38,2024-01-19
128,1331,69,2021-08-11
129,263,52,2021-03-30
130,5330,78,2022-06-25
131,4518,73,2024-06-28
132,4803,7,2023-07-02
133,9199,44,2022-07-12
134,4400,8,2020-12-09
135,9283,74,2022-03-23
136,2033,39,2023-06-18
137,796,13,2022-12-16
138,6805,64,2021-11-05
139,1679,29,2022-07-22
140,7674,11,2025-03-25
141,6698,62,2023-09-15
142,9271,48,2025-10-31
143,9605,30,2025-10-30
144,4720,84,2024-07-01
145,9274,15,2023-02-12
146,1416,80,2025-06-21
147,2307,100,2024-02-10
148,1301,5,2020-08-26
149,8078,55,2025-05-12
150,6855,8,2020-11-21
151,954,15,2025-10-23
152,8335,57,2021-07-29
153,6717,28,2019-09-04
154,4936,100,2025-03-30
155,3863,53,2024-10-25
156,6286,45,2021-03-29
157,4355,54,2024-06-12
158,4237,38,2020-11-12
159,2564,39,2021-09-20
160,5443,49,2020-06-07
161,8346,26,2024-03-01
162,7172,29,2019-11-07
163,6025,69,2024-01-29
164,8516,15,2020-03-04
165,1049,23,2020-06-03
166,221,64,2019-05-29
167,9153,38,2023-07-24
168,7501,64,2023-12-06
169,3058,44,2024-06-15
170,8905,66,2021-06-10
171,9198,45,2021-01-27
172,5418,72,2025-05-27
173,9916,14,2022-12-23
174,6100,37,2026-01-18
175,1014,43,2023-12-31
176,9888,48,2019-10-15
177,7916,30,2022-05-29
178,1171,48,2025-09-30
179,1209,59,2019-08-26
180,5317,14,2026-03-27
181,4028,56,2025-10-31
182,7635,3,2021-01-22
183,1953,40,2022-10-28
184,5392,60,2022-03-19
185,2424,34,2023-05-09
186,9808,74,2024-03-03
187,2667,68,2025-10-03
188,6125,60,2019-12-22
189,442,28,2021-11-10
190,1129,60,2025-01-29
191,7770,34,2020-09-06
192,2803,68,2022-05-19
193,4620,45,2025-01-23
194,6710,10,2020-12-28
195,7417,72,2019-06-11
196,770,47,2020-09-29
197,6665,77,2022-03-13
198,7728,60,2021-03-10
199,4327,62,2021-12-16
200,6402,62,2023-12-02
201,573,58,2022-02-23
202,7746,95,2024-08-21
203,7304,61,2024-06-25
204,5278,32,2019-04-21
205,6485,62,2021-10-29
206,3806,65,2019-06-23
207,1747,63,2020-12-26
208,6346,59,2020-05-20
209,717,13,2019-12-11
210,7560,30,2024-02-12
211,2999,87,2025-08-06
212,849,49,2026-03-03
213,5688,12,2024-07-15
214,445,66,2020-05-27
215,1825,1,2026-01-03
216,6999,33,2019-08-20
217,4839,100,2021-03-06
218,1563,37,2020-03-20
219,3718,83,2022-01-26
220,5659,20,2026-03-21
221,9691,33,2024-09-17
222,8776,97,2023-04-23
223,1043,51,2021-07-12
224,3257,48,2023-09-25
225,6990,56,2024-08-09
226,863,75,2020-07-09
