enrollment_id,student_id,course_id,enroll_date
1,574,252,2023-06-03
2,1384,97,2021-07-19
3,511,251,2025-02-21
4,754,44,2021-01-27
5,218,105,2021-06-09
6,1854,163,2021-05-09
7,615,312,2024-03-08
8,1652,100,2023-04-01
9,1945,283,2020-10-28
10,681,164,2024-10-04
11,1877,296,2021-12-05
12,1448,163,2022-12-09
13,361,276,2025-06-15
14,154,339,2019-10-14
15,1663,253,2023-04-12
16,1609,80,2025-05-11
17,1098,44,2025-07-19
18,1359,344,2024-07-21
19,434,135,2024-10-16
20,1475,306,2022-10-10
21,1895,82,2022-08-10
22,1205,144,2019-07-23
23,28,371,2020-07-06
24,773,93,2023-08-26
25,320,93,2020-03-30
26,1296,284,2019-10-06
27,1855,322,2019-02-12
28,1103,300,2020-01-20
29,1223,235,2022-12-07
30,1221,15,2020-03-06
31,1686,289,2021-05-02
32,1665,297,2024-04-03
33,1191,178,2024-11-23
34,81,305,2025-04-08
35,624,179,2023-08-02
36,377,113,2024-05-19
37,612,258,2025-07-15
38,332,51,2021-10-09
39,1352,48,2022-09-03
40,1459,311,2023-07-30
41,620,153,2021-11-27
42,1294,5,2022-03-04
43,1456,390,2025-03-10
44,1370,228,2023-05-18
45,1879,218,2025-03-05
46,1959,98,2024-04-21
47,1052,218,2024-12-26
48,629,182,2022-03-17
49,464,179,2024-03-07
50,1684,5,2022-02-24
51,1754,291,2020-08-31
52,1076,200,2024-09-19
53,279,74,2019-07-27
54,30,23,2025-05-09
55,1199,196,2024-07-24
56,548,178,2025-05-23
57,1532,209,2024-08-14
58,1615,92,2025-03-17
59,1753,5,2025-11-06
60,1234,367,2024-11-30
61,605,54,2021-03-21
62,1125,387,2025-11-05
63,1991,148,2023-10-28
64,428,68,2020-11-21
65,1693,149,2025-12-31
66,163,85,2024-07-30
67,1390,104,2023-01-16
68,976,399,2022-04-16
69,474,228,2024-09-24
70,1591,350,2022-09-04
71,1705,94,2023-02-22
72,483,349,2020-05-11
73,702,207,2021-01-20
74,533,317,2025-01-16
75,350,296,2019-11-19
76,513,45,2021-05-22
77,73,38,2021-12-13
78,1229,10,2025-03-12
79,983,258,2019-07-26
80,582,8,2019-11-28
81,1113,248,2023-10-04
82,291,63,2024-01-10
83,56,113,2024-06-01
84,1855,60,2024-04-26
85,1480,72,2025-06-12
86,573,343,2023-11-13
87,105,219,2023-02-21
88,609,25,2022-03-25
89,564,189,2023-09-29
90,834,331,2019-11-07
91,573,351,2023-10-23
92,1771,319,2022-05-23
93,288,149,2019-10-16
94,1929,391,2024-06-23
95,36,22,2023-03-18
96,99,82,2024-11-28
97,1214,220,2019-08-10
98,82,297,2023-04-26
99,1679,148,2019-01-10
100,1808,57,2019-11-06
101,367,139,2023-05-26
102,36,56,2022-08-26
103,1474,23,2019-11-23
104,1771,237,2024-01-14
105,74,176,2021-06-26
106,954,26,2020-12-25
107,1603,155,2022-05-31
108,297,284,2025-01-24
109,195,57,2020-04-15
110,248,305,2021-07-28
111,495,126,2024-11-11
112,1105,44,2022-09-20
113,1275,240,2022-03-13
114,1682,25,2021-07-25
115,1298,187,2019-09-10
116,586,198,2025-09-23
117,684,263,2025-06-28
118,806,5,2019-09-24
119,1517,397,2022-04-27
120,1057,277,2025-10-21
121,1103,213,2025-03-22
122,522,47,2023-11-23
123,1973,195,2023-03-11
124,1976,394,2025-05-22
125,1284,380,2025-07-11
126,1082,219,2024-08-16
127,360,134,2024-10-24
128,548,93,2023-08-28
129,398,316,2024-10-14
130,1990,338,2025-05-10
131,364,129,2024-06-10
132,1813,363,2021-03-14
133,848,324,2021-04-26
134,623,175,2025-05-28
135,1771,131,2023-05-05
136,56,262,2021-03-14
137,1089,36,2020-04-25
138,916,173,2022-04-17
139,587,315,2023-04-25
140,1186,309,2024-11-08
141,1886,14,2025-04-12
142,246,58,2024-09-07
143,1732,176,2025-06-01
144,1743,196,2022-07-25
145,298,292,2021-10-15
146,1910,273,2022-03-20
147,172,202,2019-02-05
148,1890,311,2022-12-21
149,1503,110,2021-12-09
150,880,71,2023-08-05
151,176,7,2019-12-02
152,1054,15,2020-06-27
153,996,2,2021-05-17
154,547,381,2024-12-03
155,538,72,2021-09-17
156,419,253,2019-11-03
157,490,354,2020-04-23
158,157,231,2023-11-13
159,489,246,2019-06-28
160,1348,284,2024-03-20
161,1830,259,2019-02-12
162,1120,207,2019-04-27
163,863,347,2020-05-24
164,1314,139,2023-06-17
165,469,193,2019-11-29
166,1111,339,2022-08-14
167,852,91,2023-07-27
168,1448,82,2019-06-25
169,1447,3,2021-05-04
170,1795,346,2019-08-04
171,857,160,2024-06-22
172,1962,276,2020-10-04
173,443,57,2025-06-03
174,1850,212,2020-02-21
175,463,163,2020-09-04
176,1593,7,2022-03-03
177,356,394,2021-01-07
178,134,42,2022-02-06
179,1699,172,2020-01-13
180,1348,151,2023-04-14
181,1893,41,2023-07-04
182,1496,153,2021-02-15
183,1091,327,2024-01-07
184,963,141,2020-11-06
185,1586,19,2022-10-12
186,879,90,2024-09-21
187,120,181,2022-04-29
188,1750,355,2019-09-30
189,1795,337,2020-03-23
190,1321,358,2022-09-19
191,1298,106,2022-10-05
192,384,287,2022-10-09
193,342,237,2024-12-15
194,238,260,2023-09-08
195,390,70,2020-12-10
196,1881,43,2025-03-23
197,434,55,2024-07-31
198,1757,52,2019-09-11
199,1114,194,2025-11-15
200,228,64,2025-08-20
201,1341,55,2022-06-09
202,1849,356,2021-09-09
203,73,154,2024-04-22
204,1425,267,2021-06-05
205,959,121,2019-09-25
206,808,5,2024-11-04
207,497,263,2022-06-27
208,1470,55,2025-02-13
209,211,234,2021-10-23
210,874,146,2023-04-16
211,997,224,2019-09-05
212,768,206,2020-12-04
213,1521,346,2025-08-27
214,101,386,2021-06-20
215,267,7,2021-10-12
216,100,264,2020-02-13
217,1193,88,2024-11-22
218,1357,32,2024-10-10
219,463,51,2022-07-12
220,390,372,2021-12-30
221,481,88,2019-05-28
222,833,262,2025-10-01
223,601,18,2019-06-10
224,151,368,2021-01-11
225,513,358,2024-11-24
226,1747,263,2022-02-11
227,76,330,2020-11-25
228,1561,132,2023-08-18
229,1374,103,2021-08-15
230,664,42,2025-11-08
231,302,325,2023-11-04
232,1495,273,2019-12-02
233,965,377,2022-11-30
234,1541,41,2021-12-01
235,1365,290,2020-09-24
236,1092,223,2022-02-20
237,282,49,2024-06-17
238,1874,33,2023-10-17
239,838,131,2022-10-12
240,1988,362,2025-05-07
241,790,329,2024-05-18
242,457,305,2023-01-10
243,52,63,2021-09-01
244,1851,33,2022-10-02
245,395,80,2019-02-19
246,955,91,2024-10-15
247,663,110,2019-03-18
248,1024,30,2021-05-22
249,304,233,2021-06-24
250,190,166,2025-08-19
251,805,371,2022-03-13
252,452,140,2020-09-13
253,1839,204,2024-05-22
254,1161,296,2022-12-11
255,98,71,2025-08-13
256,1321,241,2025-08-30
257,1830,181,2021-11-02
258,1388,15,2019-07-28
259,975,99,2019-04-04
260,815,306,2021-08-14
261,494,357,2022-09-19
262,1699,369,2023-09-30
263,1953,58,2020-10-25
264,437,8,2023-08-04
265,912,346,2024-10-19
266,816,164,2022-11-04
267,1715,31,2025-06-25
268,368,130,2022-01-07
269,1391,257,2021-10-06
270,446,377,2021-03-23
271,673,18,2021-04-23
272,114,86,2022-03-09
273,254,205,2024-05-05
274,1154,361,2024-04-22
275,1270,272,2023-07-03
276,775,117,2020-12-28
277,562,50,2024-11-27
278,648,78,2022-08-30
279,1264,370,2021-05-22
280,975,258,2021-03-19
281,254,245,2025-04-21
282,1195,41,2021-06-04
283,571,365,2019-07-18
284,221,259,2024-08-01
285,385,369,2024-05-12
286,1934,249,2024-01-12
287,1045,321,2023-10-12
288,117,270,2020-09-06
289,362,213,2019-09-04
290,1200,71,2025-05-15
291,241,7,2019-09-25
292,1066,364,2020-04-29
293,596,112,2022-05-03
294,358,371,2022-08-29
295,1794,200,2025-01-18
296,605,96,2025-01-09
297,357,52,2019-06-27
298,419,185,2022-08-23
299,1112,267,2021-07-05
300,1092,314,2024-03-03
301,1638,367,2022-03-24
302,1323,120,2020-03-14
303,558,266,2019-11-22
304,1900,380,2023-02-08
305,597,265,2022-07-13
306,843,207,2019-11-25
307,545,8,2020-02-25
308,1476,203,2021-09-01
309,423,395,2019-07-15
310,270,178,2021-03-21
311,1167,241,2020-07-09
312,1791,206,2019-12-19
313,717,252,2023-04-02
314,169,115,2020-11-07
315,1334,176,2020-10-07
316,583,259,2025-10-22
